,FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,longitude,latitude
79,01/07/2015 12:00:00 AM,"2,015",1,Mié,10:30:00:AM,Solo daños,Choque,CALLE 47 CR 20,,,1,-74.796774,10.962118400000001
80,01/07/2015 12:00:00 AM,"2,015",1,Mié,11:25:00:AM,Con heridos,Volcamiento,CR 50 CL 43,2.0,,1,-74.78269959999999,10.9892645
81,01/07/2015 12:00:00 AM,"2,015",1,Mié,11:45:00:AM,Con heridos,Choque,CR 14 CL 63,2.0,,1,-74.8078917,10.961006900000001
82,01/07/2015 12:00:00 AM,"2,015",1,Mié,12:10:00:PM,Solo daños,Choque,CLLE 30 CRA 10,,,1,-74.7850031,10.947944300000001
83,01/08/2015 12:00:00 AM,"2,015",1,Jue,01:30:00:PM,Solo daños,Choque,CLLE 47 CRA 32,,,1,-74.7898256,10.9744088
84,01/08/2015 12:00:00 AM,"2,015",1,Jue,02:00:00:PM,Solo daños,Choque,CLLE 19 CRA 8,,,1,-74.7751048,10.9480046
85,01/08/2015 12:00:00 AM,"2,015",1,Jue,03:20:00:PM,Solo daños,Choque,CLLE 27 CRA 63B,,,1,-74.7853161,10.967366499999999
86,01/08/2015 12:00:00 AM,"2,015",1,Jue,03:40:00:PM,Solo daños,Choque,CL 98 CR 52C,,,1,-74.82695919999998,11.0133121
87,01/08/2015 12:00:00 AM,"2,015",1,Jue,05:00:00:PM,Con heridos,Choque,CR 44 CL 57,1.0,,1,-74.79440550000001,10.9869278
88,01/08/2015 12:00:00 AM,"2,015",1,Jue,06:20:00:AM,Solo daños,Choque,CRA 22 CLLE 47B,,,1,-74.79397639999998,10.9654709
89,01/08/2015 12:00:00 AM,"2,015",1,Jue,06:45:00:AM,Solo daños,Choque,CLLE 84 CRA 57,,,1,-74.8132658,11.009343300000001
90,01/08/2015 12:00:00 AM,"2,015",1,Jue,06:55:00:AM,Solo daños,Choque,CLLE 70C CRA 26D,,,1,-74.80978990000001,10.9765078
91,01/08/2015 12:00:00 AM,"2,015",1,Jue,07:00:00:PM,Solo daños,Choque,AVENIDA 110 VIA 40,,,1,-74.80008149999998,11.0237244
92,01/08/2015 12:00:00 AM,"2,015",1,Jue,07:20:00:PM,Solo daños,Choque,CLLE 72 CRA 41B,,,1,-74.8079934,10.9900592
93,01/08/2015 12:00:00 AM,"2,015",1,Jue,09:10:00:PM,Con heridos,Choque,CRA 21 CLLE 41,1.0,,1,-74.7917569,10.9611545
94,01/08/2015 12:00:00 AM,"2,015",1,Jue,11:00:00:PM,Solo daños,Choque,CLLE 72 CRA 38,,,1,-74.81112689999998,10.985311099999999
95,01/08/2015 12:00:00 AM,"2,015",1,Jue,11:10:00:AM,Con heridos,Choque,CLLE 110 CRA 31,1.0,,1,-74.83604000000003,10.978269000000001
96,01/08/2015 12:00:00 AM,"2,015",1,Jue,11:30:00:AM,Solo daños,Choque,CLLE 72 CRA 58,,,1,-74.79840089999998,11.0012906
97,01/09/2015 12:00:00 AM,"2,015",1,Vie,03:10:00:PM,Solo daños,Choque,CARRERA 53 CALLE 61 109,,,1,-74.79479479999998,10.994196800000001
98,01/09/2015 12:00:00 AM,"2,015",1,Vie,04:50:00:PM,Solo daños,Choque,CR 53 82 253,,,1,-74.81470689999998,11.006965199999998
99,01/09/2015 12:00:00 AM,"2,015",1,Vie,05:40:00:PM,Solo daños,Choque,CRA 50 CLLE 80,,,1,-74.81262459999998,11.0017022
100,01/09/2015 12:00:00 AM,"2,015",1,Vie,06:00:00:PM,Solo daños,Choque,CLLE 30 CRA 46,,,1,-74.7769683,10.9857315
101,01/09/2015 12:00:00 AM,"2,015",1,Vie,06:10:00:PM,Solo daños,Choque,CLLE 92 CRA 40A,,,1,-74.8236368,11.009298
102,01/09/2015 12:00:00 AM,"2,015",1,Vie,06:20:00:PM,Solo daños,Choque,CLLE 17 CRA 33,,,1,-74.7743478,10.9703073
103,01/09/2015 12:00:00 AM,"2,015",1,Vie,07:52:00:AM,Solo daños,Choque,CALLE 17 CR 22,,,1,-74.77471949999999,10.9595659
104,01/09/2015 12:00:00 AM,"2,015",1,Vie,08:50:00:AM,Solo daños,Choque,CLLE 45 CRA 8D,,,1,-74.79992879999999,10.9483105
105,01/09/2015 12:00:00 AM,"2,015",1,Vie,09:00:00:AM,Solo daños,Choque,CLLE 82 CRA 53,,,1,-74.81332689999998,11.0061612
106,01/09/2015 12:00:00 AM,"2,015",1,Vie,10:15:00:AM,Solo daños,Choque,CLLE 35 CRA 33,,,1,-74.78171259999998,10.972578599999999
107,01/09/2015 12:00:00 AM,"2,015",1,Vie,11:00:00:AM,Solo daños,Choque,CLLE 106 CRA 50,,,1,-74.8365851,11.013246
108,01/09/2015 12:00:00 AM,"2,015",1,Vie,11:25:00:AM,Solo daños,Choque,CONCENTRADOS DEL NORTE UBICADO EN LA CRA 42 CL 7,,,1,-74.7696478,10.9791081
109,01/10/2015 12:00:00 AM,"2,015",1,Sáb,01:00:00:PM,Con heridos,Choque,CL 110 CR 13,2.0,,1,-74.83805140000001,10.9683261
110,01/10/2015 12:00:00 AM,"2,015",1,Sáb,01:40:00:PM,Solo daños,Choque,CRA 4 CLLE 35,,,1,-74.7891994,10.9392153
111,01/10/2015 12:00:00 AM,"2,015",1,Sáb,02:10:00:PM,Solo daños,Choque,CLLE 98 CRA 59B,,,1,-74.8232252,11.0181679
112,01/10/2015 12:00:00 AM,"2,015",1,Sáb,03:10:00:PM,Solo daños,Choque,CRA 42F CLLE 79,,,1,-74.8144662,10.994006
113,01/10/2015 12:00:00 AM,"2,015",1,Sáb,04:10:00:AM,Con heridos,Atropello,AV CIRCUNVALAR CALLE 47B,2.0,,1,-74.83382519999998,10.941715499999999
114,01/10/2015 12:00:00 AM,"2,015",1,Sáb,04:14:00:PM,Solo daños,Choque,CLLE 45B CRA 13C,,,1,-74.79767439999998,10.954033500000001
115,01/10/2015 12:00:00 AM,"2,015",1,Sáb,04:40:00:PM,Solo daños,Choque,CALLE 63B CR 28,,,1,-74.80449770000001,10.976334199999998
116,01/10/2015 12:00:00 AM,"2,015",1,Sáb,05:00:00:AM,Con heridos,Choque,CALLE 49 1A 41,2.0,,1,-74.8093145,10.9314495
117,01/10/2015 12:00:00 AM,"2,015",1,Sáb,08:00:00:AM,Solo daños,Choque,CLLE 30 CRA 6B,,,1,-74.7837128,10.943464800000001
118,01/10/2015 12:00:00 AM,"2,015",1,Sáb,08:30:00:AM,Con heridos,Atropello,AVENIDA 47 CLLE 60,1.0,,1,-74.79528359999998,10.9916437
119,01/10/2015 12:00:00 AM,"2,015",1,Sáb,09:10:00:AM,Solo daños,Choque,CRA 45 CLLE 84,,,1,-74.819319,11.000748800000002
120,01/10/2015 12:00:00 AM,"2,015",1,Sáb,10:50:00:AM,Solo daños,Choque,CRA 38 CLLE 54,,,1,-74.79441059999999,10.9816451
121,01/10/2015 12:00:00 AM,"2,015",1,Sáb,12:10:00:PM,Solo daños,Choque,AV CIRCUNVALAR CR 46,,,1,-74.83681429999999,10.9720852
122,01/10/2015 12:00:00 AM,"2,015",1,Sáb,12:30:00:PM,Solo daños,Choque,CRA 27 CLLE 39,,,1,-74.7862361,10.9680023
123,01/10/2015 12:00:00 AM,"2,015",1,Sáb,12:30:00:PM,Solo daños,Choque,VIA 40 CALLE 68B,,,1,-74.79207690000001,11.012229800000002
124,01/11/2015 12:00:00 AM,"2,015",1,Dom,02:00:00:PM,Solo daños,Choque,AVENIDA DEL RIO KM 1 + 100,,,1,-74.7704827,10.997075099999998
125,01/11/2015 12:00:00 AM,"2,015",1,Dom,02:30:00:PM,Solo daños,Choque,CALLE 17 CR 8,,,1,-74.77345809999998,10.948341000000001
126,01/11/2015 12:00:00 AM,"2,015",1,Dom,02:30:00:PM,Solo daños,Choque,CR 42 CALLE 99A,,,1,-74.7736255,10.979937699999999
127,01/11/2015 12:00:00 AM,"2,015",1,Dom,04:00:00:PM,Solo daños,Choque,CRA 31 CLLE 69C,,,1,-74.80756190000001,10.980663999999999
128,01/11/2015 12:00:00 AM,"2,015",1,Dom,07:30:00:AM,Solo daños,Choque,CALLE 45 MURILLO CON 1,,,1,-74.7990863,10.9337515
129,01/11/2015 12:00:00 AM,"2,015",1,Dom,09:00:00:AM,Solo daños,Choque,CRA 50 CLLE 43,,,1,-74.78269959999999,10.9892645
130,01/11/2015 12:00:00 AM,"2,015",1,Dom,10:00:00:PM,Solo daños,Choque,CRA 51B CLLE 100,,,1,-74.83202589999998,11.0119752
131,01/11/2015 12:00:00 AM,"2,015",1,Dom,10:15:00:PM,Con heridos,Choque,CR 38 CL 54,2.0,,1,-74.79441059999999,10.9816451
132,01/11/2015 12:00:00 AM,"2,015",1,Dom,11:00:00:AM,Solo daños,Choque,AV CIRCUNVALAR CR 26,,,1,-74.8371453,10.971626800000001
133,01/11/2015 12:00:00 AM,"2,015",1,Dom,12:00:00:PM,Solo daños,Choque,CRA 38 CLLE 80,,,1,-74.81999139999998,10.9868854
134,01/12/2015 12:00:00 AM,"2,015",1,Lun,02:00:00:PM,Con heridos,Choque,CR 8G CL 50A,1.0,,1,-74.8065737,10.949583500000001
135,01/12/2015 12:00:00 AM,"2,015",1,Lun,03:30:00:PM,Con heridos,Choque,CALLE 47 CRA 9,4.0,,1,-74.805047,10.926617599999998
136,01/12/2015 12:00:00 AM,"2,015",1,Lun,04:00:00:AM,Solo daños,Choque,CA 38 CLLE 56,,,1,-74.79551719999998,10.982106800000002
137,01/12/2015 12:00:00 AM,"2,015",1,Lun,04:10:00:PM,Solo daños,Choque,CLLE 49 CRA 2C,,,1,-74.8059172,10.933914
138,01/12/2015 12:00:00 AM,"2,015",1,Lun,05:00:00:PM,Solo daños,Choque,CLLE 71 CRA 41,,,1,-74.8076945,10.9889231
139,01/12/2015 12:00:00 AM,"2,015",1,Lun,05:40:00:PM,Solo daños,Choque,CALLE 82 CR 42G,,,1,-74.81864870000001,10.996219
140,01/12/2015 12:00:00 AM,"2,015",1,Lun,08:00:00:PM,Solo daños,Choque,CLLE 45 AVENIDA 110,,,1,-74.80698129999998,11.004107199999998
141,01/12/2015 12:00:00 AM,"2,015",1,Lun,08:10:00:PM,Solo daños,Choque,CLLE 45 CR 8A,,,1,-74.7998703,10.946748
142,01/12/2015 12:00:00 AM,"2,015",1,Lun,11:30:00:PM,Solo daños,Choque,AV CIRCUNVALAR CR 15 SUR,,,1,-74.8243697,10.9265214
143,01/12/2015 12:00:00 AM,"2,015",1,Lun,12:00:00:PM,Solo daños,Choque,CALLE 94 CR 52B,,,1,-74.8242023,11.011220699999999
144,01/13/2015 12:00:00 AM,"2,015",1,Mar,02:30:00:PM,Solo daños,Choque,VIA 40 CLLE 85B,,,1,-74.80350829999998,11.0257711
145,01/13/2015 12:00:00 AM,"2,015",1,Mar,05:00:00:AM,Solo daños,Choque,CLLE 73 CRA 26A,,,1,-74.8131281,10.97617
146,01/13/2015 12:00:00 AM,"2,015",1,Mar,07:00:00:AM,Solo daños,Choque,CALLE 4 CR 64,,,1,-74.7654577,10.9701839
147,01/13/2015 12:00:00 AM,"2,015",1,Mar,07:00:00:AM,Solo daños,Choque,CALLE 94 CR 65,,,1,-74.817903,11.0187009
148,01/13/2015 12:00:00 AM,"2,015",1,Mar,07:00:00:PM,Solo daños,Choque,CLLE 30 CRA 27,,,1,-74.7822709,10.9661166
