,LATITUD,LONGITUD
301,10.9834463,-74.780499
200,11.0017702,-74.8280803
173,10.993192800000001,-74.8009609
32,10.986184100000001,-74.79196280000002
198,11.0052039,-74.8077615
304,10.986443,-74.811122
38,10.9817507,-74.78082619999998
78,10.988127699999998,-74.7879786
307,10.978402699999998,-74.79745179999998
256,11.0044963,-74.8143788
164,11.0018231,-74.8097543
245,11.0007269,-74.8054417
71,11.003153900000001,-74.82273520000003
13,11.008813,-74.8050155
281,11.0018507,-74.7976397
144,11.0049151,-74.81988620000001
50,11.0038108,-74.827226
157,10.994371000000001,-74.801746
176,10.999839300000001,-74.8085037
63,10.942804800000001,-74.7994937
136,10.9974724,-74.8096969
258,11.0072921,-74.8182891
43,10.9965549,-74.80425509999998
204,10.9943913,-74.8055641
209,10.978483099999998,-74.7828894
291,10.9923109,-74.8136587
228,10.972828300000002,-74.7881745
172,10.9781534,-74.7967611
197,10.976169,-74.791678
42,10.9927375,-74.7892454
169,10.995940300000001,-74.81245129999998
119,10.997767800000002,-74.8032762
247,10.976911,-74.80839240000002
86,10.990808900000001,-74.7970541
293,10.9863515,-74.7810334
109,10.982073399999999,-74.78990970000002
15,10.9902237,-74.79493120000002
155,10.9866404,-74.81623559999998
251,10.969624900000001,-74.79013459999999
177,10.952677099999999,-74.78021890000002
6,10.989212599999998,-74.79522
26,10.980213699999998,-74.78815490000002
271,11.0120999,-74.82781990000002
148,10.9759955,-74.8054204
203,10.9992924,-74.8043755
27,11.0037485,-74.81486600000002
195,10.9540389,-74.7805196
76,10.9845719,-74.78575570000002
54,10.9840737,-74.8024088
124,10.987274699999999,-74.7763253
208,10.9867886,-74.7875214
242,10.986873800000001,-74.8038667
178,11.000941000000001,-74.8256212
45,10.9892049,-74.8085664
239,10.9556793,-74.7961987
128,10.9722266,-74.7935484
300,10.986711,-74.78247979999998
249,10.9618252,-74.79327909999998
268,10.9846061,-74.7925588
181,10.9780634,-74.7806719
146,10.9811718,-74.7753824
201,11.0020519,-74.82323199999998
220,10.983130699999998,-74.8094388
153,10.9863985,-74.7927448
295,10.979536900000001,-74.78613299999998
163,10.9929092,-74.80935179999999
49,10.9587401,-74.8032998
179,10.996334300000001,-74.8070974
114,10.9878254,-74.79714820000002
29,11.0013593,-74.8164114
171,10.992947500000001,-74.793324
116,11.002082699999999,-74.81593690000003
110,10.995324900000002,-74.8136578
