,the_geom,name,description,No.,CODIGO,LATITUD,LONGITUD,ICONO
28,POINT (-74.7784432 10.9800066),CALLE 34 CON CARRERA 41 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 34<br>
<b>CODIGO:</b> 2132<br>
<b>LOCALIZACION:</b> CALLE 34 CON CARRERA 41 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9800066<br>
<b>LONGITUD:</b> -74.7784432<br>
<b>ICONO:</b> small_green
</div>",34,2132,10.9800066,-74.7784432,small_green
29,POINT (-74.7782254 10.9812295),CALLE 34 CON CARRERA 43 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 35<br>
<b>CODIGO:</b> 2133<br>
<b>LOCALIZACION:</b> CALLE 34 CON CARRERA 43 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9812295<br>
<b>LONGITUD:</b> -74.7782254<br>
<b>ICONO:</b> small_green
</div>",35,2133,10.9812295,-74.77822540000001,small_green
30,POINT (-74.7778786 10.9828928),CALLE 34 CON CARRERA 44 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 36<br>
<b>CODIGO:</b> 2134<br>
<b>LOCALIZACION:</b> CALLE 34 CON CARRERA 44 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9828928<br>
<b>LONGITUD:</b> -74.7778786<br>
<b>ICONO:</b> small_green
</div>",36,2134,10.982892800000002,-74.7778786,small_green
31,POINT (-74.777582 10.9838136),CALLE 34 CON CARRERA 45 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 37<br>
<b>CODIGO:</b> 2134<br>
<b>LOCALIZACION:</b> CALLE 34 CON CARRERA 45 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9838136<br>
<b>LONGITUD:</b> -74.777582<br>
<b>ICONO:</b> small_green
</div>",37,2134,10.9838136,-74.777582,small_green
32,POINT (-74.776969 10.985733),CALLE 34 CON CARRERA 46 BARRANQUILLA *norte,"<div class=""googft-info-window"">
<b>No.:</b> 38<br>
<b>CODIGO:</b> 3046<br>
<b>LOCALIZACION:</b> CALLE 34 CON CARRERA 46 BARRANQUILLA *norte<br>
<b>LATITUD:</b> 10.985733<br>
<b>LONGITUD:</b> -74.776969<br>
<b>ICONO:</b> small_green
</div>",38,3046,10.985733,-74.776969,small_green
33,POINT (-74.776957 10.985721),CALLE 34 CON CARRERA 46 BARRANQUILLA *sur,"<div class=""googft-info-window"">
<b>No.:</b> 39<br>
<b>CODIGO:</b> 3046<br>
<b>LOCALIZACION:</b> CALLE 34 CON CARRERA 46 BARRANQUILLA *sur<br>
<b>LATITUD:</b> 10.985721<br>
<b>LONGITUD:</b> -74.776957<br>
<b>ICONO:</b> small_green
</div>",39,3046,10.985721,-74.776957,small_green
34,POINT (-74.7921527 10.946079),CALLE 36B CON CARRERA 8 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 41<br>
<b>CODIGO:</b> 3608<br>
<b>LOCALIZACION:</b> CALLE 36B CON CARRERA 8 BARRANQUILLA<br>
<b>LATITUD:</b> 10.946079<br>
<b>LONGITUD:</b> -74.7921527<br>
<b>ICONO:</b> small_green
</div>",41,3608,10.946079,-74.7921527,small_green
35,POINT (-74.7799369 10.9833457),CALLE 37 CON CARRERA 44 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 42<br>
<b>CODIGO:</b> 2120<br>
<b>LOCALIZACION:</b> CALLE 37 CON CARRERA 44 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9833457<br>
<b>LONGITUD:</b> -74.7799369<br>
<b>ICONO:</b> small_green
</div>",42,2120,10.9833457,-74.77993690000001,small_green
36,POINT (-74.7793988 10.9860925),CALLE 37 CON CARRERA 46 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 43<br>
<b>CODIGO:</b> 3746<br>
<b>LOCALIZACION:</b> CALLE 37 CON CARRERA 46 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9860925<br>
<b>LONGITUD:</b> -74.7793988<br>
<b>ICONO:</b> small_green
</div>",43,3746,10.9860925,-74.7793988,small_green
37,POINT (-74.7844122 10.9703976),CALLE 38 CON CARRERA 30 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 44<br>
<b>CODIGO:</b> 3830<br>
<b>LOCALIZACION:</b> CALLE 38 CON CARRERA 30 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9703976<br>
<b>LONGITUD:</b> -74.7844122<br>
<b>ICONO:</b> small_green
</div>",44,3830,10.9703976,-74.78441219999999,small_green
